title,author,image,tags,sinopsis,price,real_price,n_pages,editorial,lang,encuadernacion,ISBN,year,date
OPEN UP 5 ACTIVITY BOOK EXAM (5º PRIMARIA),,https://imagessl1.casadellibro.com/a/l/t5/11/9780194073011.jpg,"Libros de Texto y Formación,Educación primaria",,10.37,9.85,,OXFORD UNIVERSITY PRESS,INGLÉS,Tapa blanda,9780194073011,2022,05/05/2022
LOS SIETE MARIDOS DE EVELYN HUGO,TAYLOR JENKINS REID,https://imagessl5.casadellibro.com/a/l/t5/75/9788416517275.jpg,"Novela contemporánea,Narrativa extranjera",,5.49,5.22,384,UMBRIEL,CASTELLANO,,9788416517275,2020,04/02/2020
UNA HISTORIA DE ESPAÑA,ARTURO PEREZ REVERTE,https://imagessl1.casadellibro.com/a/l/t5/41/9788466359641.jpg,"Historia,Historia de España,Estudios generales","A lo largo de los 91 capítulos más el epílogo de los que consta el  libro, Arturo Pérez-Reverte narra los principales acontecimientos  ocurridos desde los orígenes de nuestra historia y hasta el final de la  Transición con una mirada subjetiva, construida con las dosis exactas de  lecturas, experiencia y sentido común. «La misma mirada con que escribo  novelas y artículos -dice el autor-; no la elegí yo, sino que es resultado de todas esas cosas: la visión, ácida más a menudo que dulce, de quien, como dice un personaje de una de mis novelas, sabe que  ser lúcido en España aparejó siempre mucha amargura, mucha soledad y mucha desesperanza.»",22.90,21.75,256,DEBOLSILLO ,CASTELLANO,Tapa blanda,9788466359641,2022,05/05/2022
TRILOGÍA LOS ENEMIGOS DEL COMERCIO,ANTONIO ESCOHOTADO,https://imagessl1.casadellibro.com/a/l/t5/21/9788467057621.jpg,"Ciencias Políticas y Sociales,Política,Teoría política","La trilogía proyectada sobre el origen y desarrollo del movimiento comunista, los tres volúmenes de",19.50,18.52,2056, ESPASA LIBROS,CASTELLANO,Tapa blanda,9788467057621,2019,12/11/2019
LA TEORIA DE LOS ARCHIPIELAGOS,ALICE KELLEN,https://imagessl5.casadellibro.com/a/l/t5/85/9788408264385.jpg,"Romántica y erótica,Narrativa romántica",,17.90,17.00,288,PLANETA,CASTELLANO,Tapa dura,9788408264385,2022,16/11/2022
EL PACIENTE,JUAN GOMEZ JURADO,https://imagessl5.casadellibro.com/a/l/t5/15/9788413142715.jpg,"Literatura,Narrativa en bolsillo,Policiaca. Novela negra en bolsillo","El prestigioso neurocirujano David Evans se enfrenta a una terrible  encrucijada: si su próximo paciente sale vivo de la mesa de operaciones,  su pequeña hija, Julia, morirá a manos de un psicópata. Para el doctor  Evans se inicia una desesperada cuenta atrás cuando descubre que el  paciente que debe morir para que su hija viva no es otro que el  presidente de Estados Unidos. Con su habitual maestría en la literatura  de intriga, Juan Gómez-Jurado atrapa irremediablemente al lector. Una  novela apasionante y emotiva que se desarrolla en 63 freneticas horas,  que no da respiro en su lectura y que plantea un dilema moral imposible que puede cambiar el curso de la historia.",20.90,19.85,496,B DE BOLSILLO ,CASTELLANO,Tapa blanda,9788413142715,2021,08/04/2021
"LOS NIÑOS QUE FUIMOS, LOS PADRES QUE SOMOS",BEATRIZ CAZURRO,https://imagessl3.casadellibro.com/a/l/t5/33/9788408261933.jpg,"Psicología y Pedagogía,Psicología,Psicología infantil","Tener hijos es uno de los grandes desafíos a los que nos enfrentaremos a lo largo de nuestras vidas. Como padres y madres, deseamos hacer un buen trabajo, pero, en el camino, no nos damos cuenta de la cantidad de experiencias pasadas, creencias y mitos que se entretejen en cada una de las decisiones que tomamos y que pueden entorpecer y dañar especialmente nuestra relación con nuestros hijos.",16.95,16.10,240,PLANETA,CASTELLANO,Tapa dura,9788408261933,2022,21/09/2022
CONSTITUCION ESPAÑOLA (26ª ED.),,https://imagessl1.casadellibro.com/a/l/t5/61/9788430985661.jpg,"Derecho,Derecho constitucional",,10.37,9.85,224,TECNOS,CASTELLANO,Tapa blanda,9788430985661,2022,
EN PLENA NOCHE,MIKEL SANTIAGO,https://imagessl9.casadellibro.com/a/l/t5/89/9788466669689.jpg,Novela negra, ,6.95,6.60,672, EDICIONES B,CASTELLANO,Tapa blanda,9788466669689,2021,03/06/2021
HEAVEN OFFICIAL S BLESSING: TIAN GUAN CI FU (NOVEL) VOL. 4 : 4,MO XIANG TONG XIU,https://imagessl3.casadellibro.com/a/l/t5/23/9781638583523.jpg,"Literatura,En otros idiomas,Literatura en ingles",,25.50,24.22,,SEVEN SEAS,INGLÉS,Tapa blanda,9781638583523,,20/09/2022
