title,author,image,tags,sinopsis,price,real_price,n_pages,editorial,lang,encuadernacion,ISBN,year,date
EL LIBRO DEL SEPULTURERO,OLIVER POTZSCH,https://imagessl3.casadellibro.com/a/l/t5/03/9788408262503.jpg,Novela negra,"En el Prater, el parque más importante de la ciudad, aparece el cuerpo de una criada asesinada de forma brutal. Leopold von Herzfeldt, un joven inspector de policía, será el encargado del caso, a pesar de no contar con el favor de sus colegas, que no quieren saber nada de sus novedosos métodos de investigación, como la inspección de la escena del crimen, la obtención de pruebas o la toma de fotografías. Leopold contará con el apoyo de dos personajes del todo dispares: Augustin Rothmayer, el sepulturero mayor del cementerio central de Viena; y Julia Wolf, una joven operadora de la recién inaugurada central telefónica de la ciudad y con un secreto que no quiere que salga a la luz.",9.99,9.49,528,PLANETA,CASTELLANO,Tapa dura,9788408262503,2022,31/08/2022
LA MUJER HELADA,ANNIE ERNAUX,https://imagessl4.casadellibro.com/a/l/t5/04/9788494443404.jpg,"Novela contemporánea,Narrativa extranjera",,9.49,9.02,240,CABARET VOLTAIRE,CASTELLANO,Tapa blanda,9788494443404,2015,21/10/2015
BAD ASH 5. SUELO SAGRADO 2,ALINA NOT,https://imagessl0.casadellibro.com/a/l/t5/40/9788408262640.jpg,"Juvenil,Más de 15 años,Libros románticos y de amor","Han pasado dos años desde esos días de verano en el lago Tahoe en los que todo terminó hecho pedazos. Acostumbrada a la nueva realidad, Ashley ha aceptado que no volverá a ser aquella que desafinaba en un coche y le recordaba a un chico que nunca se olvidara de sonreír.",8.99,8.54,592,PLANETA,CASTELLANO,Tapa blanda,9788408262640,2022,16/11/2022
"DE LUKOV, CON AMOR",MARIANA ZAPATA,https://imagessl7.casadellibro.com/a/l/t5/17/9788401030017.jpg,"Romántica y erótica,Narrativa romántica","Si alguien le pidiera a Jasmine Santos que describiera la última época  de su vida con una sola palabra, seguramente utilizaría una que habría que censurar.",13.90,13.20,448,PLAZA & JANES EDITORES,CASTELLANO,Tapa blanda,9788401030017,2022,22/09/2022
TOKYO REVENGERS 11,KEN WAKUI,https://imagessl5.casadellibro.com/a/l/t5/75/9788467947175.jpg,"Cómics manga infantil y juvenil,Manga juvenil,Shonen",,16.00,15.20,372, NORMA EDITORIAL,CASTELLANO,Tapa blanda,9788467947175,2022,25/11/2022
LA LADRONA DE HUESOS,MANEL LOUREIRO,https://imagessl2.casadellibro.com/a/l/t5/32/9788408257332.jpg,Novela negra,"Tras ser víctima de un salvaje atentado, Laura pierde completamente la memoria. Solo el cariño de Carlos, el hombre del que se ha enamorado, le ayuda a percibir destellos de su misterioso pasado. Pero ¿quién es Laura? ¿Qué le sucedió? Durante una cena romántica, Carlos desaparece de forma inexplicable y sin dejar rastro. Una llamada al móvil de la joven le anuncia que, si quiere volver a ver con vida a su pareja, tendrá que aceptar un peligroso reto de insospechadas consecuencias: robar las reliquias del Apóstol en la catedral de Santiago.  ",20.90,19.85,504,PLANETA,CASTELLANO,Tapa dura,9788408257332,2022,04/05/2022
EL CASO ALASKA SANDERS,JOEL DICKER,https://imagessl7.casadellibro.com/a/l/t5/27/9788420462127.jpg,Novela negra,"«Una voz napoleónica, que no escribe, boxea.»",23.90,22.70,592,ALFAGUARA,CASTELLANO,Tapa blanda,9788420462127,2022,
TU CUERPO ES TUYO,LUCIA SERRANO,https://imagessl8.casadellibro.com/a/l/t5/08/9788418599408.jpg,"Infantil,Infantil 5 a 6 años,Humanidades",,14.90,14.15,40,NUBEOCHO EDICIONES,CASTELLANO,Tapa dura,9788418599408,2021,11/10/2021
"PACK EL GRAN LIBRO DE LUCIA, MI PEDIATRA + MEDIDOR DE REGALO (DE BEBÉS A ADOLESCENTES)",LUCIA GALAN BERTRAND,https://imagessl8.casadellibro.com/a/l/t5/48/8432715141648.jpg,"Medicina,Medicina general y especialidades,Pediatría",,6.99,6.64,688,PLANETA,CASTELLANO,,8432715141648,2022,06/04/2022
ESPERANDO AL DILUVIO,DOLORES REDONDO,https://imagessl9.casadellibro.com/a/l/t5/79/9788423362479.jpg,Novela negra,"Entre los años 1968 y 1969, el asesino al que la prensa bautizaría como John Biblia mató a tres mujeres en Glasgow. Nunca fue identificado y el caso todavía sigue abierto hoy en día. En esta novela, a principios de los años ochenta, el investigador de policía escocés Noah Scott Sherrington logra llegar hasta John Biblia, pero un fallo en su corazón en el último momento le impide arrestarlo. A pesar de su frágil estado de salud, y contra los consejos médicos y la negativa de sus superiores para que continúe con la persecución del asesino en serie, Noah sigue una corazonada que lo llevará hasta el Bilbao de 1983. Justo unos días antes de que un verdadero diluvio arrase la ciudad.",10.99,10.44,576,DESTINO,CASTELLANO,Tapa dura,9788423362479,2022,16/11/2022
"ANTOLOGIA POETICA - FEDERICO GARCIA LORCA: DEL VERSO HONDO AL AMOR OSCURO, 23 POEMAS COMENTADOS (EBAU VALENCIA)",FEDERICO GARCIA LORCA,https://imagessl0.casadellibro.com/a/l/t5/20/9788412222920.jpg,"Literatura,Poesía,Poesía contemporánea española del XIX al XXI",,16.00,15.20,176,MICOMICONA EDICIONES,CASTELLANO,Tapa blanda,9788412222920,2020,02/10/2020
EL METAL PERDIDO (NACIDOS DE LA BRUMA [MISTBORN] 7),BRANDON SANDERSON,https://imagessl3.casadellibro.com/a/l/t5/33/9788418037733.jpg,"Literatura,Géneros literarios,Narrativa fantástica","Waxillium Ladrian, vigilante de la ley convertido en senador de la gran  ciudad, lleva años intentando dar caza a la sombría organización llamada  el Grupo -entre cuyos líderes se cuentan su difunto tío y su hermana-,  desde que empezaron a secuestrar a personas con el poder de la alomancia  en su linaje. Cuando la detective Marasi Colms y su compañero Wayne  encuentran un almacén ilegal de armas con destino a la ciudad exterior  de Bilming, se abre ante ellos una nueva pista. El conflicto entre  Elendel y las ciudades exteriores favorece al Grupo, que ya extiende sus  tentáculos hasta el Senado de Elendel -cuya corrupción pretenden destapar Wax y Steris-, y la ciudad de Bilming está incluso más  implicada de lo que creían.",34.90,33.15,640,NOVA,CASTELLANO,Tapa dura,9788418037733,2022,17/11/2022
"LIMPIEZA, ORDEN Y FELICIDAD",BEGO LA ORDENATRIZ,https://imagessl6.casadellibro.com/a/l/t5/96/9788408261896.jpg,"Autoayuda y Espiritualidad,Autoayuda","Mantener la limpieza y el orden en casa puede convertirse en una auténtica fuente de estrés en medio del día a día imparable que llevamos, pero viendo a la Ordenatriz, uno puede creer que todo es posible. Bego es madre de siete hijos y una trabajadora incansable, y en medio de todo ello se ha convertido en la gran prescriptora de limpieza en España. ¡No hay mancha ni desteñido que se le resista!",8.99,8.54,256,PLANETA,CASTELLANO,Tapa blanda,9788408261896,2022,07/09/2022
ANTES DE DICIEMBRE,JOANA MARCUS,https://imagessl8.casadellibro.com/a/l/t5/48/9788418483448.jpg,"Juvenil,Más de 15 años,Libros románticos y de amor","Para Jenna Brown, su primer año en la Universidad suponía alejarse de su  familia y sus amigos y enfrentarse al mundo por primera vez en su vida.",7.99,7.59,496,MONTENA,CASTELLANO,Tapa blanda,9788418483448,2021,11/11/2021
INVISIBLE (EDICION LIMITADA),ELOY MORENO,https://imagessl3.casadellibro.com/a/l/t5/63/9788418050763.jpg,"Novela contemporánea,Narrativa española",¿Quien no ha deseado alguna vez ser invisible?,6.99,6.64,320,NUBE DE TINTA,CASTELLANO,Tapa dura,9788418050763,2022,03/11/2022
EL MUNDO ESTÁ EN VENTA,JAVIER BLAS,https://imagessl8.casadellibro.com/a/l/t5/58/9788411000758.jpg,"Economía,Estudios y ensayos","Las empresas encargadas de la compraventa de materias primas mueven 17 billones de dólares al año. O lo que es lo mismo: un tercio de la economía global. Nos proporcionan el café que bebemos, los metales con los que se fabrican nuestros teléfonos y la gasolina de los coches que conducimos y, sin embargo, pocas veces nos detenemos a pensar quiénes son, así como de dónde proceden esas materias primas. Javier Blas y Jack Farchy sacan a la luz uno de los aspectos menos conocidos de la globalización: las actividades de las empresas que compran, acumulan y venden los recursos del planeta.",10.99,10.44,528,PENINSULA,CASTELLANO,Tapa blanda,9788411000758,2022,25/05/2022
"DIME QUE COMO AHORA: MEJORA TU MICROBIOTA, TUS DIGESTIONES Y TU ENERGIA",BLANCA GARCIA OREA,https://imagessl0.casadellibro.com/a/l/t5/30/9788425362330.jpg,"Salud y Dietas,Medicina divulgativa","En este libro Blanca nos explica los microorganismos que podemos  encontrar en los alimentos que comemos y cómo pueden afectar a nuestra  microbiota y, por tanto, a nuestra salud. De la mano de Blanca aprenderás que:",9.99,9.49,256,GRIJALBO,CASTELLANO,Tapa blanda,9788425362330,2022,20/10/2022
VERBOLARIO,RODRIGO CORTES,https://imagessl2.casadellibro.com/a/l/t5/42/9788439740742.jpg,"Literatura,Poesía,Poesía contemporánea española del XIX al XXI", ,20.90,19.85,216,LITERATURA RANDOM HOUSE,CASTELLANO,Tapa dura,9788439740742,2022,22/09/2022
TUS ZONAS ERRONEAS,WAYNE W. DYER,https://imagessl4.casadellibro.com/a/l/t5/24/9788499085524.jpg,"Autoayuda y Espiritualidad,Autoayuda","El estado de salud es un estado natural, y los medios para lograrlo están dentro de las posibilidades de cada uno.",14.50,13.77,320,DEBOLSILLO,CASTELLANO,Tapa blanda,9788499085524,2010,04/02/2010
EL PODER DE LAS PALABRAS: COMO CAMBIAR TU CEREBRO (Y TU VIDA) CONVERSANDO,MARIANO SIGMAN,https://imagessl4.casadellibro.com/a/l/t5/94/9788418006494.jpg,"Psicología y Pedagogía,Psicología,Neuropsicología",,9.99,9.49,352,DEBATE,CASTELLANO,Tapa blanda,9788418006494,2022,15/09/2022
TODO VA A MEJORAR (TAPA DURA),ALMUDENA GRANDES,https://imagessl6.casadellibro.com/a/l/t5/96/9788411071796.jpg,"Novela contemporánea,Narrativa española","España en un futuro próximo. Un nuevo partido político llamado Movimiento Ciudadano ¡Soluciones Ya! ha arrasado en las elecciones. Quien lo dirige en la sombra es un empresario de éxito que propugna que el Consejo de Ministros funcione como un consejo de administración, y que tiene proyectos ambiciosos para arreglar el país. Tras la alarma de una ola de vandalismo, formará un nuevo cuerpo de Vigilantes, tras un Gran Apagón creará un acceso limitado a internet, y, ante las dificultades, estimulará la libertad de compras y consumo. Todas ellas serán medidas extraordinarias porque el país se enfrenta a nuevas formas de pandemia que exigen velar ante todo por la seguridad. «La seguridad es salud. La salud es vida. La vida es seguridad.» ",10.99,10.44,496,TUSQUETS EDITORES,CASTELLANO,,9788411071796,2022,11/10/2022
,,,,,10.99,10.44,,,,,,,
BELEN. CABALLO DE TROYA 12,J.J. BENITEZ,https://imagessl6.casadellibro.com/a/l/t5/56/9788408263456.jpg,"Literatura,Géneros literarios,Narrativa de ciencia ficción"," fue publicado en 2011, pero estaba incompleto. Por razones técnicas, algunas de las páginas del diario del mayor de la USAF fueron retiradas por la editorial. Ahora son publicadas en su absoluta totalidad.",12.95,12.30,288,PLANETA,CASTELLANO,Tapa dura,9788408263456,2022,26/10/2022
UNA CORTE DE ROSAS Y ESPINAS 1. NUEVA PRESENTACION,SARAH J. MAAS,https://imagessl3.casadellibro.com/a/l/t5/03/9788408257103.jpg,"Juvenil,Más de 15 años,Fantasía y magia","Cuando la cazadora Feyre mata a un lobo en el bosque, una criatura bestial irrumpe en su casa para exigir una compensación. Así, es trasladada a una tierra mágica y engañosa de la que solo había oído hablar en las leyendas, donde Feyre descubre que su captor no es un animal sino Tamlin: una divinidad inmortal y letal que alguna vez reinó en su mundo.",145.00,137.75,456,PLANETA,CASTELLANO,,9788408257103,2022,13/04/2022
EL AMANECER DE TODO,DAVID GRAEBER,https://imagessl8.casadellibro.com/a/l/t5/28/9788434435728.jpg,"Historia,Historia Universal,Historia universal","Durante generaciones hemos visto a nuestros antepasados más remotos como seres primitivos, ingenuos y violentos. Se nos ha dicho que solo era posible alcanzar la civilización sacrificando libertades o domesticando nuestros instintos. En este ensayo, los reconocidos antropólogos David Graeber y David Wengrow demuestran que estas concepciones, que surgieron en el siglo xviii, fueron una reacción conservadora de la sociedad europea ante las críticas de los intelectuales indígenas y que no tienen un aval antropológico y arqueológico.",10.99,10.44,848,ARIEL,CASTELLANO,Tapa dura,9788434435728,2022,11/10/2022
MANUAL DE LA BRUJA NOVATA,AIGUADVALENCIA,https://imagessl1.casadellibro.com/a/l/t5/81/9788419191281.jpg,"Ciencias Humanas,Esoterismo y Ciencias Ocultas,Esoterismo y ocultismo",Un grimorio lleno de hechizos y  encantamientos para quienes quieran iniciarse en,17.95,17.05,208,ALFAGUARA,CASTELLANO,Tapa blanda,9788419191281,2022,22/09/2022
JUEGO DE TRONOS Nº 01/04 (NUEVA EDICION),GEORGE R.R. MARTIN,https://imagessl2.casadellibro.com/a/l/t5/22/9788491738022.jpg,"Cómics,Personajes series sagas,Series sagas","Robert Baratheon, rey de los 7 Reinos, pide a Eddard Stark, sabio Señor de Invernalia, que ocupe el puesto vacante de consejero real, tras la misteriosa muerte del que hasta entonces tenía el cargo. Ello supondrá dejar atrás a su familia y que las intrigas palaciegas dominen su existencia.",13.90,13.20,192,PLANETA DE AGOSTINI,CASTELLANO,Tapa dura,9788491738022,2019,07/05/2019
LA SALA DE LOS ESPEJOS,LIV STROMQUIST,https://imagessl4.casadellibro.com/a/l/t5/04/9788418052804.jpg,"Cómics,Novela gráfica,Europea",«Una autora imperdible».,18.90,17.95,176,RESERVOIR BOOKS,CASTELLANO,Tapa dura,9788418052804,2022,08/09/2022
TE ESPERO EN EL FIN DEL MUNDO,ANDREA LONGARELA,https://imagessl0.casadellibro.com/a/l/t5/80/9788408247180.jpg,"Romántica y erótica,Narrativa romántica",Violet y Levi se conocen desde niños.,17.95,17.05,560,PLANETA,CASTELLANO,Tapa blanda,9788408247180,2021,29/09/2021
PERSONALIDAD Y PODER,IAN KERSHAW,https://imagessl6.casadellibro.com/a/l/t5/66/9788491994466.jpg,"Historia,Historia Universal,Historia contemporánea universal","El siglo XX fue testigo del ascenso de gobernantes que dominaron una gran variedad de instrumentos de control, persuasión y muerte. En el contexto de profundos cambios sociales y despiadadas guerras, estos dirigentes de algún modo obtuvieron la capacidad de hacer lo que desearan sin importar las consecuencias para los demás. ¿Qué tenían estos líderes y la época en la que vivían que les permitía un poder tan ilimitado? ¿Y qué hizo que esa época llegara a su fin?",11.99,11.39,576,CRITICA,CASTELLANO,Tapa dura,9788491994466,2022,
EDITO 1º BACHILLERATO A1 ELEVE ED 2022,,https://imagessl1.casadellibro.com/a/l/t5/defecto1.jpg,"Libros de Texto y Formación,Bachillerato",,10.37,9.85,216,SANTILLANA,FRANCÉS,Tapa blanda,9788490498101,2022,29/07/2022
CUENTO DE HADAS,STEPHEN KING,https://imagessl0.casadellibro.com/a/l/t5/10/9788401027710.jpg,"Literatura,Géneros literarios,Narrativa fantástica","Charlie Reade parece un estudiante de instituto normal y corriente, pero  carga con un gran peso sobre los hombros. Cuando él solo tenía diez  años, su madre fue víctima de un atropello y la pena empujó a su padre a  la bebida. Aunque era demasiado joven, Charlie tuvo que aprender a cuidarse solo... y también a ocuparse de su padre.",19.50,18.52,856,PLAZA & JANES EDITORES,CASTELLANO,Tapa dura,9788401027710,2022,22/09/2022
LO QUE LA MAREA ESCONDE,MARIA ORUÑA,https://imagessl5.casadellibro.com/a/l/t5/65/9788423361465.jpg,"Literatura,Narrativa en bolsillo,Policiaca. Novela negra en bolsillo","La presidenta del Club de la Bahía de Santander, una de las mujeres más poderosas de la ciudad, ha aparecido muerta en el camarote de una preciosa goleta que con unos pocos y selectos invitados del mundo del tenis surcaba el mar al anochecer.",20.90,19.85,416,DESTINO,CASTELLANO,Tapa blanda,9788423361465,2022,18/05/2022
FORMULARIO Y TABLAS INTRODUCCION AL ANALISIS DE DATOS EN PSICOLOGIA Y CIENCIAS DE LA SALUD,JUAN CARLOS SUAREZ FALCON,https://imagessl9.casadellibro.com/a/l/t5/39/9788417765439.jpg,"Psicología y Pedagogía,Psicología,Psicología básica",,6.00,5.70,56,SANZ Y TORRES,CASTELLANO,Tapa blanda,9788417765439,2019,02/10/2019
"ATREVETE A RETARME (LAS GUERRERAS MAXWELL, 7)",MEGAN MAXWELL,https://imagessl3.casadellibro.com/a/l/t5/43/9788408252443.jpg,"Romántica y erótica,Narrativa romántica",". A diferencia de sus hermanas y hermanos, que cumplen la voluntad de sus padres, ella es más inquieta. Su carácter independiente y retador espanta a todos los hombres que se le acercan.",6.95,6.60,544,PLANETA,CASTELLANO,Tapa blanda,9788408252443,2022,23/02/2022
EL HOMBRE EN BUSCA DE SENTIDO,VIKTOR E. FRANKL,https://imagessl6.casadellibro.com/a/l/t5/26/9788425432026.jpg,"Psicología y Pedagogía,Psicoterapias",,7.99,7.59,168,HERDER,CASTELLANO,Tapa blanda,9788425432026,2015,04/12/2015
UNA HERENCIA EN JUEGO,JENNIFER LYNN BARNES,https://imagessl2.casadellibro.com/a/l/t5/22/9788427223622.jpg,"Juvenil,Más de 13 años,Misterio y terror","Avery tiene un plan: pasar desapercibida, trabajar duro para aspirar a  un futuro mejor. Entonces un excéntrico multimillonario fallece y le  deja casi toda su fortuna. Y nadie, tampoco Avery, sabe por qué.",8.49,8.07,448,MOLINO,CASTELLANO,Tapa blanda,9788427223622,2022,17/03/2022
TOSTONAZO,SANTIAGO LORENZO,https://imagessl4.casadellibro.com/a/l/t5/04/9788419172204.jpg,"Novela contemporánea,Narrativa española",,11.99,11.39,192,BLACKIE BOOKS,CASTELLANO,Tapa dura,9788419172204,2022,05/10/2022
HABITOS ATOMICOS,JAMES CLEAR,https://imagessl6.casadellibro.com/a/l/t5/36/9788418118036.jpg,"Autoayuda y Espiritualidad,Autoayuda",«Sumamente práctico y útil.» ,23.90,22.70,336,PLANETA,CASTELLANO,Tapa blanda,9788418118036,2020,08/09/2020
POLITICAS COMPARADAS DE LA EDUCACION SOCIAL,ELISA GAVARI STARKIE,https://imagessl2.casadellibro.com/a/l/t5/92/9788418316692.jpg,"Psicología y Pedagogía,Pedagogía,Pedagogía social",,31.50,29.92,250,SANZ Y TORRES,CASTELLANO,Tapa dura,9788418316692,2022,03/10/2022
EL MISTERIO DE LA BALA PERDIDA,RICHARD OSMAN,https://imagessl8.casadellibro.com/a/l/t5/88/9788467067088.jpg,Novela negra,"Es otro jueves cualquiera. Excepto que los problemas nunca andan lejos si la pandilla del Club del Crimen de Los Jueves está metida en el ajo. Una leyenda de las noticias locales, a la caza de un titular jugoso, visitará Coopers Chase y pronto nuestro cuarteto de octogenarios andará tras la pista de dos asesinatos sin resolver. Por si fuera poco, un nuevo enemigo pondrá a Elizabeth entre la espada y la pared, encargándole una misión letal: matar o morir.",9.99,9.49,448, ESPASA LIBROS,CASTELLANO,Tapa blanda,9788467067088,2022,26/10/2022
MISS MERKEL. EL CASO DE LA CANCILLER JUBILADA,DAVID SAFIER,https://imagessl3.casadellibro.com/a/l/t5/53/9788432241253.jpg,"Literatura,Narrativa en bolsillo,Narrativa extranjera del XIX al XXI en bolsillo","Tras retirarse, Angela Merkel se muda con su esposo, su guardaespaldas y su encantador perrito Putin a la Alemania rural. Acostumbrada a una vida agitada, enfrentada a duros líderes mundiales, situaciones límite y unos tres mil banquetes de Estado, ahora no consigue relajarse en el campo. Así que cuando un noble de la zona aparece muerto, una chispa se enciende en Angela: por fin un problema que resolver.",9.99,9.49,352,SEIX BARRAL,CASTELLANO,Tapa blanda,9788432241253,2022,05/10/2022
DIARIOS: A RATOS PERDIDOS 3 Y 4,RAFAEL CHIRBES,https://imagessl7.casadellibro.com/a/l/t5/97/9788433999597.jpg,"Filología,Estudios literarios,Biografías y estudios de escritores",Segundo volumen de los ,13.99,13.29,704,ANAGRAMA,CASTELLANO,Tapa blanda,9788433999597,2022,05/10/2022
"YO, TÚ Y UN QUIZÁS",MARIA MARTINEZ.,https://imagessl9.casadellibro.com/a/l/t5/59/9788408260059.jpg,"Romántica y erótica,Narrativa romántica",Él nunca lo ha tenido fácil y esconde su vulnerabilidad tras una apariencia despreocupada.,12.95,12.30,512,PLANETA,CASTELLANO,Tapa blanda,9788408260059,2022,09/11/2022
MAESTRA DE PUEBLO: LA ESCUELA VACIADA,MAESTRA DE PUEBLO,https://imagessl9.casadellibro.com/a/l/t5/19/9788425361319.jpg,"Cómics,Cómics de humor","Todo el mundo confía en María para salir del enredo que se ha formado en  este curso. La directora la lio parda al presentar una solicitud y ahora  les han concedido una suculenta beca, pero nadie quiere organizar la red  colaborativa entre centros que les exigen. El claustro ya está a punto  de aceptar que Mister Marshall pasará de largo cuando María acepta ponerse al frente del proyecto.",17.90,17.00,112,GRIJALBO,CASTELLANO,Tapa blanda,9788425361319,2022,03/11/2022
,,,,,9.99,9.49,,,,,,,
LA NOVIA GITANA (LA NOVIA GITANA 1),CARMEN MOLA,https://imagessl4.casadellibro.com/a/l/t5/74/9788466347174.jpg,"Literatura,Narrativa en bolsillo,Policiaca. Novela negra en bolsillo","«Una novela que me encantó cuando la leí, policial y oscura, con una  historia muy potente que ha enganchado a miles de lectores -y espero que  ahora a miles de espectadores. [...] Elena Blanco es de los mejores  personajes femeninos protagonistas que he visto en mucho tiempo y el  Madrid que se muestra, callejero y violento, da mucha fuerza.»",20.90,19.85,408,DEBOLSILLO ,CASTELLANO,Tapa blanda,9788466347174,2021,17/06/2021
"SOMOS LA LECHE: DUDAS, CONSEJOS Y FALSOS MITOS SOBRE LA LACTANCIA",ALBA PADRO,https://imagessl6.casadellibro.com/a/l/t5/56/9788418007156.jpg,"Medicina,Medicina general y especialidades,Pediatría","La maternidad es una etapa desconocida, llena de mitos y miedos, si eres  madreprimeriza. Y si quieres amamantar a tu bebé, debes saber que se  puede aprender a dar el pecho, que no es un acto instintivo.",8.99,8.54,240,GRIJALBO,CASTELLANO,Tapa blanda,9788418007156,2020,20/02/2020
LA RED PÚRPURA (LA NOVIA GITANA 2),CARMEN MOLA,https://imagessl8.casadellibro.com/a/l/t5/38/9788466350938.jpg,"Literatura,Narrativa en bolsillo,Policiaca. Novela negra en bolsillo","«El seudónimo es una máscara como cualquier otra y quien se resguarda  tras él tiene sus motivos. [...] Hombre o mujer, igual da. La competencia de sus novelas está probada. Y el impacto de no tener  rostro, también.»",20.90,19.85,432,DEBOLSILLO ,CASTELLANO,Tapa blanda,9788466350938,2021,17/06/2021
EL ARTE DE LA GUERRA,SUN TZU,https://imagessl3.casadellibro.com/a/l/t5/03/9788494709203.jpg,"Ciencias Humanas,Filosofía,Filosofía antigua",,12.95,12.30,98,DOJO EDICIONES,CASTELLANO,Tapa blanda,9788494709203,2018,11/10/2018
"YO, EGO. UNA GUIA PARA DEJAR DE SUFRIR, CONECTAR CONTIGO MISMO Y ALCANZAR LA PAZ",MARIA DE MONDO,https://imagessl1.casadellibro.com/a/l/t5/31/9788491397731.jpg,"Autoayuda y Espiritualidad,Autoayuda","¿Te preocupa la opinión de los demás, no gustar o hacer el ridículo?",18.90,17.95,224,HARPERCOLLINS,CASTELLANO,Tapa blanda,9788491397731,2022,21/09/2022
INVENCIBLE VOL. 10 DE 12,ROBERT KIRKMAN,https://imagessl1.casadellibro.com/a/l/t5/71/9788419518071.jpg,"Cómics,Novela gráfica,Otros países",,11.50,10.92,272,ECC,CASTELLANO,Tapa dura,9788419518071,2022,18/10/2022
PURGATORIO,JON SISTIAGA,https://imagessl2.casadellibro.com/a/l/t5/12/9788401028212.jpg,Novela negra,"Hace treinta y cinco años, Imanol Azkarate fue secuestrado y ejecutado,  pero sus dos asesinos nunca fueron detenidos ni identificados. Uno de  ellos, Josu Etxebeste, conocido restaurador guipuzcoano, guardó todas  las cartas y dibujos que hizo el secuestrado durante el cautiverio.  Ahora, ha decidido confesar su crimen y dar todo ese material a Alasne,  la hija de la víctima, y entregarse al comisario Ignacio Sánchez, el  policía que investigó el secuestro. Sin embargo, Josu solo confesará si  Sánchez reconoce a su vez que fue un despiadado torturador. Mientras  pugnan por conciliar su pasado armado con un presente sin rencor ni  violencia, los resortes durmientes de la Organización se movilizan.  Antiguos militantes que, como Etxebeste, nunca fueron detenidos y que no  tienen ninguna intención de confesar y cambiar sus cómodas vidas en la  Euskadi del posconflicto tratarán de detener ese acercamiento por todos los medios posibles.",12.50,11.87,416,PLAZA & JANES EDITORES,CASTELLANO,Tapa blanda,9788401028212,2022,17/03/2022
OSITO TITO. LA CASA ENCANTADA,BENJI DAVIES,https://imagessl5.casadellibro.com/a/l/t5/15/9788408186915.jpg,"Infantil,Infantil 0 a 2 años,Personajes",Osito Tito y sus amigos no tienen miedo de nada... ¡hasta que entran en esta casa encantada! ¿Qué misterios esconde? ¡Temblarás de risa! ¡Acompáñalos en este divertidísimo,14.90,14.15,10,PLANETA,CASTELLANO,Tapa dura,9788408186915,2018,18/09/2018
"ADIOS, PEQUEÑO (PREMIO DE NOVELA FERNANDO LARA 2022)",MAXIM HUERTA,https://imagessl8.casadellibro.com/a/l/t5/68/9788408258568.jpg,"Novela contemporánea,Narrativa española","«Mi madre habría sido más feliz si yo no hubiera nacido.» Así arranca el desgarrador testimonio de un escritor enfrentado a la más dura de sus narraciones, la de su propia vida. Asaltado por los recuerdos mientras cuida a su madre enferma, el pasado se le presenta con vacíos que no logra llenar.",9.99,9.49,384,PLANETA,CASTELLANO,Tapa dura,9788408258568,2022,15/06/2022
RELACIONADOS,MARIA PAREJA OLCINA,https://imagessl9.casadellibro.com/a/l/t5/29/9788415721529.jpg,"Literatura,Teatro,Teatro contemporáneo español del XIX al XXI",,7.00,6.65,79,SANSY EDICIONES,CASTELLANO,Tapa blanda,9788415721529,2020,01/01/2020
PROMETEME QUE TE PEGARAS UN TIRO,FLORIAN HUBER,https://imagessl8.casadellibro.com/a/l/t5/98/9788417743598.jpg,"Historia,Historia Universal,II Guerra Mundial y guerra fría",,22.50,21.37,304,ATICO DE LOS LIBROS,CASTELLANO,Tapa dura,9788417743598,2022,13/10/2022
EL PASAJERO / STELLA MARIS,CORMAC MCCARTHY,https://imagessl4.casadellibro.com/a/l/t5/04/9788439740704.jpg,"Novela contemporánea,Narrativa extranjera", ,9.99,9.49,624,LITERATURA RANDOM HOUSE,CASTELLANO,Tapa blanda,9788439740704,2022,10/11/2022
AIEN CATHARSIS,KAMOME OSHIMA,https://imagessl0.casadellibro.com/a/l/t5/10/9788419296610.jpg,"Cómics,Manga,Otros",,9.00,8.55,168,YERMO EDICIONES,CASTELLANO,Tapa blanda,9788419296610,2022,13/10/2022
PACK DE MAYOR QUIERO SER... FELIZ + CUENTO EXCLUSIVO,ANNA MORATO GARCIA,https://imagessl1.casadellibro.com/a/l/t5/91/2910025244991.jpg,"Infantil,Infantil 3 a 4 años,Prelectura y preescritura"," reúne 6 entrañables cuentos para conseguir que los niños aprendan a ser felices desde pequeños. Temas tan importantes como el poder de las palabras, el valor de las cosas, la actitud frente a los otros, la confianza en uno mismo, la autoestima y la gestión de la frustración, explicados de forma amena y comprensible para todos.",11.95,11.35,,BEASCOA,CASTELLANO,Tapa dura,2910025244991,2022,26/08/2022
LA LISTA DEL JUEZ,JOHN GRISHAM,https://imagessl4.casadellibro.com/a/l/t5/34/9788401027734.jpg,Novela negra,Lacy Stoltz se ha encontrado en numerosas ocasiones frente a problemas  de corrupción en su trabajo como investigadora de la Comisión de  Conducta Judicial de Florida. Pero nada la ha preparado para el caso que  una asustada pero decidida desconocida quiere poner en  sus manos.,21.50,20.42,432,PLAZA & JANES EDITORES,CASTELLANO,Tapa dura,9788401027734,2022,13/10/2022
EL DON DE LA SENSIBILIDAD: LAS PERSONAS ALTAMENTE SENSIBLES,ELAINE ARON,https://imagessl8.casadellibro.com/a/l/t5/48/9788497772648.jpg,"Autoayuda y Espiritualidad,Autoayuda",,9.44,8.97,288,OBELISCO,CASTELLANO,Tapa blanda,9788497772648,2006,08/02/2006
